recipe_name,niacin,vitaminB6,vitaminC,sodium,carbohydrates,sugars,calories,thiamin,caloriesFromFat,folate,calcium,fiber,fat,iron,cholesterol,protein,vitaminA,potassium,saturatedFat,magnesium,apple,avocado,bacon,basil,bay lea,beans,beef,bell pepper,black pepper,bouillon,bread,bread crumbs,broccoli,broth,butter,carrot,cayenne pepper,celery,cheese,chicken,chile peppers,chili powder,cilantro,corn,cream,cucumber,cumin,dressing,egg,flour,garlic,ginger,ham,honey,lemon,lettuce,lime,mayonnaise,milk,mushroom,mustard,noodles,oil,olives,onion,oregano,paprika,parsley,pasta,peas,pork ,potatoe,red pepper,rice,roast,rosemary,sage,salsa,salt,salt and ground black pepper,sauce,spinach,stock,sugar,thyme,tomato,vinegar,water,wine,zucchini,category
Cheesy Chilada Casserole,8.760834,0.4259235,22.42453,1105.912,34.30389,6.451081,475.1931,0.189016,237.4383,58.34352,421.246,6.900105,26.38203,3.621344,78.72337,26.97554,1073.423,738.1548,12.48487,78.30643,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,Casseroles
Cheesy Chili Enchiladas,5.951461,0.263542,0.518,1177.568,24.09636,4.05598,525.243,0.105631,328.3654,12.362,509.442,3.4985,36.48504,2.94542,88.654,26.6428,1643.21,399.712,17.56948,59.734,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Casseroles
Cheesy Corned Beef Hash Casserole,3.959872,0.1767038,0.475313,739.2048,37.0202,2.940955,327.9032,0.212086,127.2661,96.59544,118.6769,1.645,14.14068,3.121603,59.93752,13.06548,160.4439,239.5829,6.055183,38.61034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Casseroles
Cheesy Creamed Spinach Casserole,1.759121,0.07931223,1.9016,388.3765,6.551711,0.5092267,159.5986,0.05522833,119.5077,65.90778,185.8837,1.995067,13.27863,1.086484,29.08055,5.346358,6290.592,227.3967,8.080059,47.46889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Casseroles
Cheesy Eggplant Casserole,7.468185,0.2412629,3.313609,1078.324,46.22564,7.355571,413.4081,0.3803489,155.2532,124.7005,379.381,5.721112,17.25035,2.885038,91.49374,18.92474,543.4421,461.2551,9.7993,51.0992,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Casseroles
Cheesy Ham and Asparagus Bake,4.400808,0.177545,13.2445,535.8818,12.11446,2.97946,201.4265,0.2595983,99.13548,71.9575,162.772,0.8665708,11.01505,1.590127,148.0575,13.37993,649.9658,248.5533,4.965982,20.75642,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Casseroles
Cheesy Sausage Pasta,7.582243,0.2508594,32.30139,752.1258,47.95194,4.52146,514.2147,0.2795044,249.1236,122.493,170.3591,2.613944,27.6804,3.048989,71.85876,20.04021,650.6165,400.0329,12.86823,47.50438,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,Pasta
Cheesy Smoked Sausage Casserole,6.763318,0.1285055,6.334166,947.0619,26.36115,3.788746,358.6383,0.3329694,189.7047,72.83362,207.2966,1.749013,21.0783,2.607103,52.95733,16.00868,394.0101,326.0717,10.37584,36.0309,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,Casseroles
Cheesy Turkey with Pasta,15.38554,0.5168568,3.450133,537.8981,63.10233,4.53523,579.257,0.1044128,181.2523,167.8114,148.9498,3.511429,20.13914,3.817095,90.36551,36.64132,458.0101,475.6263,9.804335,65.56023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,Pasta
Chef John's Chicken Riggies,23.52654,0.9595262,170.1988,1241.808,110.4004,16.9371,1055.127,0.3906884,369.6919,284.8685,274.2871,8.126925,41.07688,8.540647,168.4225,56.60207,1795.142,1277.7,15.07017,135.5024,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,Pasta
Chef John's Garlic-Studded Roast Pork,10.13724,0.3899184,3.771857,326.8788,14.51091,0.09188834,455.5094,0.6814004,267.545,12.62639,75.17853,3.921141,29.72722,3.239349,104.1,30.62818,255.0273,435.125,9.753658,25.05522,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,Roasts
Chef John's Perfect Prime Rib,25.75533,1.366666,0.336,342.6726,1.045473,0.0187525,1756.908,0.3653334,1445.514,23.26563,51.221,0.424,160.6126,8.039718,361.6311,72.46355,359.3296,1189.301,69.53744,71.42776,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Roasts
Chef John's Roasted Leg of Lamb,14.45067,0.2212414,0.8487465,804.0231,1.192853,0.05888664,325.7791,0.1313162,185.1427,25.78884,24.09138,0.3534039,20.57141,2.942622,115.32,31.94321,168.2135,415.0464,8.567113,33.50811,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,Roasts
Cheryl's Spinach Cheesy Pasta Casserole,8.284311,0.2773783,3.121667,668.2167,37.95723,9.7844,378.485,0.1170117,161.5725,115.4683,349.6017,4.204833,17.9525,2.47055,64.36667,17.02952,3514.803,475.8417,7.539658,62.475,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,Pasta
Chicken Alfredo with Fettuccini Noodles,15.64661,0.4531444,1.0386,845.2736,46.80228,2.378432,1014.276,0.07403813,683.5287,132.9568,409.8032,1.925446,75.94764,2.58496,271.8884,38.70363,2492.815,436.0233,47.0491,63.72025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Pasta
Chicken Asparagus Casserole,13.33699,0.346104,6.591434,1816.733,41.02077,4.0079,504.2817,0.2302987,241.8954,70.97346,203.1187,2.106867,26.87727,4.147095,71.63999,24.1712,673.8367,311.5057,9.093019,35.79967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Casseroles
Chicken Avocado Casserole,22.74557,0.8453422,7.574486,589.16,13.10949,1.626173,458.0922,0.2352835,272.1411,62.9033,135.8989,4.948935,30.23791,2.054826,111.3712,34.7311,550.8696,784.7813,11.47545,81.59892,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Casseroles
Chicken Casserole Del Sol,11.31165,0.5732159,3.901853,1392.219,70.29835,5.381083,839.9357,0.1019854,463.2209,180.0805,186.8931,3.607844,51.46899,5.354696,82.45375,26.46773,1010.493,274.6844,15.4273,52.46832,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Casseroles
Chicken Enchilada Casserole I,20.01743,0.6414931,16.86913,2042.856,30.48656,2.206038,532.7902,0.1563996,223.8488,21.82099,400.3601,3.59303,24.87209,2.549168,139.2226,46.64609,1286.827,621.318,12.07217,82.86837,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,Casseroles
Chicken Enchilada Casserole II,12.30701,0.2892653,1.843147,1130.505,39.93518,3.379448,537.282,0.3761875,252.6021,75.84533,417.3351,3.335717,28.0669,3.307275,94.89201,31.42017,830.5702,467.1525,14.81129,45.932,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Casseroles
Chicken Enchiladas III,12.55168,0.2766849,11.42616,2217.675,66.66399,8.415636,885.2089,0.5474485,405.037,132.8242,802.4844,3.179562,45.00411,5.180675,136.3895,38.71528,1434.683,602.318,25.15351,72.64875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Casseroles
Chicken Enchiladas Suizas,29.05009,0.956952,59.77164,1466.913,62.76624,5.021633,992.3013,0.6542025,492.3127,159.2524,788.1945,4.978817,54.70141,5.917627,218.2032,60.34019,2855.707,750.4429,31.10581,102.1766,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,Casseroles
Chicken Enchiladas Verdes,15.80379,0.5127725,33.74088,857.4862,33.00566,7.419752,445.8854,0.188785,162.4122,67.15755,589.2239,6.89491,18.0458,3.198411,94.26973,39.70728,1940.317,817.6039,8.330405,98.35285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,Casseroles
Chicken Enchiladas with Creamy Green Chile Sauce,19.34673,0.5510455,17.2571,1013.366,33.23262,2.860318,797.3039,0.1863359,467.0656,43.92533,541.8719,4.348341,51.89617,2.664897,171.8318,49.77515,1492.527,510.9172,24.63747,89.94234,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Casseroles
Chicken Fettuccini Alfredo,20.77824,0.6953749,6.859363,1385.863,56.97417,8.190329,672.8996,0.1748137,277.2917,145.2775,282.5325,3.225271,30.81019,3.354507,132.7618,43.26298,923.6854,732.0371,18.8974,78.89633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Pasta
Chicken Florentine Casserole,26.39774,0.9679593,32.63762,1805.659,17.58428,3.284716,646.7015,0.1880675,341.7828,209.6437,876.1208,5.421449,37.97587,7.015216,168.429,61.5663,19691.6,1235.049,19.87173,208.194,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Casseroles
Chicken Florentine Rice Casserole,12.56696,0.5097961,5.899305,1040.75,25.28471,1.32564,369.459,0.1279286,163.1598,117.0496,219.8214,3.546092,18.12887,2.850457,47.3695,27.8242,8747.249,495.6047,4.647912,78.64154,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,Casseroles
Chicken Mushroom Linguine,29.08773,0.9663438,4.215067,566.0605,49.19287,3.193804,550.3672,0.19435,171.4111,139.1773,82.21658,2.681358,19.04568,3.200985,125.0528,45.35336,517.4578,672.9836,10.6594,79.02734,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Pasta
Chicken Provolone,20.02686,0.6805502,1.49225,1524.665,49.83531,3.503038,554.8597,0.1048646,156.091,8.295105,188.3917,3.906977,17.34344,4.190509,99.57231,39.28822,465.5678,389.3318,7.675649,44.3988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Casseroles
Chicken Ranch Enchiladas,17.50462,0.5020411,16.1471,1788.808,57.14371,1.066948,812.8193,0.5295546,428.4177,115.2411,426.2159,2.972333,47.60197,3.932632,144.7082,38.50775,1563.959,535.3083,27.28666,55.95983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Casseroles
Chicken Riggies II,20.24034,0.7828335,10.92445,457.4543,27.29562,2.068071,566.196,0.1178209,330.0027,70.95262,74.93594,1.458672,36.66697,2.166131,162.6546,31.97913,1350.86,513.3444,18.8088,56.35863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,Pasta
Chicken Sherry,13.75152,0.4924667,7.557053,1093.869,16.49698,3.546902,596.4006,0.06630167,395.0154,7.636667,128.3399,2.52435,43.8906,3.045064,97.93333,32.12568,724.5964,239.1535,9.128,28.11333,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Casseroles
Chicken Spaghetti Casserole II,20.30769,0.578522,4.01554,779.266,45.27323,3.886445,628.8463,0.567821,288.8319,144.2851,226.7985,2.635696,32.09244,3.973942,120.7167,37.9303,540.946,519.7435,11.77988,68.18919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Casseroles
Chicken Stroganoff II,30.49257,1.097195,68.33753,909.3373,49.37561,10.66894,592.4612,0.6437631,214.5551,120.9405,139.2751,2.62463,23.83945,4.562146,152.944,45.42245,1225.521,906.5803,11.60712,85.29749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Pasta
Chicken Suiza Cornbread Bake,6.189343,0.1736732,4.293854,856.7608,30.0543,5.325105,378.1534,0.07139088,196.0959,56.23604,234.0555,1.559527,21.78843,1.662571,69.78316,17.89815,644.796,288.5272,11.81923,29.45502,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Casseroles
Chicken Wellington Casserole,16.54984,0.504615,1.173,805.9396,24.85781,4.628529,541.0186,0.08447,305.157,14.525,51.755,0.4505,33.90633,3.077052,122.1,31.74913,744.365,337.26,15.7413,28.42375,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Casseroles
Chicken and Bowtie Pasta with Asiago Cream Sauce,16.33928,0.4408863,1.878479,424.5954,61.4747,1.226328,836.6257,0.4429665,455.8731,142.7543,182.0263,3.505427,50.65257,3.13535,192.6693,33.21653,1628.207,299.1984,27.6569,55.49864,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pasta
Chicken and Dressing Casserole,33.81946,1.104379,4.931283,1298.443,30.168,3.4367,968.9398,0.1823838,590.7949,67.66383,114.9957,1.355017,65.64388,4.37892,274.0275,61.20204,1077.196,834.475,23.82401,74.77766,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Casseroles
Chicken and Eggplant Alfredo,20.00196,0.6140647,1.968508,1786.81,47.75731,10.95565,1523.161,0.08514173,1162.602,35.33995,334.4973,4.920417,129.178,4.071907,190.3482,47.08759,527.9316,589.3336,29.57807,54.32681,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Casseroles
Chicken and Pea Casserole,9.927124,0.2580146,4.54015,1063.352,48.75558,4.021952,461.7186,0.08676677,161.3795,129.2917,331.1189,2.849804,17.93106,3.188336,53.1875,27.10031,691.0775,280.7686,8.695355,50.14702,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Casseroles
Chicken and Red Bean Enchiladas,12.90775,0.5645026,8.190705,936.7845,41.78383,4.58654,511.7075,0.2187506,217.6989,62.35723,340.6616,8.072965,24.18877,3.086178,92.80536,32.91943,1190.218,694.9696,10.30255,86.60847,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Casseroles
Chicken and Rice Casserole II,26.55811,0.8948337,5.098938,609.6724,17.28341,4.211926,767.3561,0.1491769,474.2597,55.96062,314.6471,1.050092,52.69553,3.044217,225.7529,53.33058,1000.013,632.3478,21.41055,69.18042,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,Casseroles
Chicken with Artichokes and Sundried Tomatoes,17.76643,0.7061392,40.84023,1722.049,49.93908,3.436617,512.1131,0.1770729,189.3623,65.14217,235.5547,7.215291,21.04026,3.815355,78.01366,33.31592,885.3156,808.7902,7.340127,54.90284,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Pasta
Chicken with Rice (Arroz con Pollo),13.0862,0.9336842,55.35758,1926.256,65.23756,6.852696,745.338,0.5837915,364.9607,203.5547,120.972,5.445188,40.55119,7.031804,105.28,29.97986,1186.662,812.0171,8.448377,76.43108,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,Casseroles
Chicken with Sun-Dried Tomato and Roasted Pepper Cream Sauce,21.39392,0.7826843,107.4205,611.2485,61.85888,5.324642,692.2716,0.1785918,289.5148,139.0525,135.2933,6.641538,32.16832,5.623701,107.9075,37.28214,6089.564,1187.388,10.36317,111.314,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,Pasta
"Chicken, Cheese, and Wine",13.676,0.3465794,0.6411394,731.2407,7.202011,1.927763,354.7888,0.08482543,161.4507,14.61301,299.0303,0.8852527,17.93896,1.991819,98.06999,32.94063,510.2565,291.8578,9.313616,40.75868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,Casseroles
"Chicken, Eggplant, and Green Beans Casserole",8.724634,0.3056552,7.4011,544.0638,12.10985,2.455902,362.3005,0.1073474,234.3644,31.6838,328.8351,1.672318,26.04049,1.404247,92.85278,20.64154,1003.261,279.843,15.96112,36.64707,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,Casseroles
"Chicken, Rice, and Green Bean Casserole",13.02255,0.6499566,2.909667,755.555,22.75517,2.176967,507.5591,0.09877667,333.6608,44.73,37.82,2.816333,37.07342,2.232352,60.04,21.68282,370.025,321.5667,6.119535,49.30333,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Casseroles
Chile Relleno Casserole,11.74896,0.434796,32.2384,885.692,13.27666,6.257475,511.087,0.1751635,319.9402,55.9235,367.6605,1.12515,35.54891,3.15184,258.351,33.24205,996.274,556.1935,16.8788,48.535,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Casseroles
Chili Beef Casserole,9.971661,0.6134287,43.75265,881.1863,58.07787,10.65377,480.2734,0.3424977,142.784,70.73877,166.4292,13.40929,15.86489,5.778574,58.10944,31.06682,986.1602,876.4907,5.23661,75.55108,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Casseroles
Chili Dog Casserole I,5.43471,0.1462277,1.475897,1570.889,33.65437,5.3574,607.8958,0.2788919,372.2244,75.3999,348.5318,3.84183,41.35827,5.691488,94.38571,26.23568,527.381,431.6453,18.57112,63.66787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Casseroles
